pic_names,pic_logfoldchanges_x,pic_pvals_x,pic_pvals_adj_x,pic_pts_x,UNST_pts_x,1to1_bat_dragon_x,pic_logfoldchanges_y,pic_pvals_y,pic_pvals_adj_y,pic_pts_y,UNST_pts_y,1to1_bat_dragon_y
IFNB1,4.301702499,0.000230934,0.002283942,0.026200376,0.003849908,IFNB1,26.88949776,0.000499396,0.005671304,0.065592635,0,IFNB1
ISG15,2.88180542,0,0,0.970439141,0.727469906,ISG15,7.401402473,4.80E-121,5.30E-118,0.448791715,0.010279001,ISG15
PLEKHA4,2.624156237,1.99E-06,2.83E-05,0.043515407,0.014857391,PLEKHA4,0,1,1,0,0,PLEKHA4
DHX58,2.588986397,0,0,0.308082246,0.079492463,DHX58,3.544312954,0.001367543,0.014112982,0.066168009,0.005873715,DHX58
SOCS1,2.537525415,0,0,0.552543145,0.188591259,SOCS1,0.756132007,0.599969517,1,0.01726122,0.007342144,SOCS1
TRANK1,2.495387554,0,0,0.606026086,0.230669125,TRANK1,3.430800438,4.07E-31,4.07E-29,0.266398159,0.054821341,TRANK1
HERC5,2.37336731,0,0,0.639517002,0.260980371,HERC5,5.937894821,1.04E-67,3.48E-65,0.338895282,0.013705335,HERC5
DDX58,2.34931612,0,0,0.63934613,0.251979178,DDX58,1.916131377,2.40E-21,1.38E-19,0.279631761,0.111600587,DDX58
IFIH1,2.238087654,0,0,0.609500484,0.269656219,IFIH1,3.008174896,1.10E-124,1.47E-121,0.593210587,0.226138032,IFIH1
TMEM140,2.134674072,0,0,0.368741812,0.129595489,TMEM140,2.678598404,0.065152648,0.402053092,0.039700806,0.004894763,TMEM140
EIF2AK2,2.126232147,0,0,0.74528678,0.393341286,EIF2AK2,4.043765068,1.49E-111,1.33E-108,0.47986191,0.083210964,EIF2AK2
USP18,2.060571432,0,0,0.480776898,0.18338575,USP18,5.539772987,4.76E-34,5.45E-32,0.236478711,0.00783162,USP18
MX1,1.976527452,0,0,0.915646181,0.650200629,MX1,17.8277607,0.97563975,1,0.000575374,0,MX1
TNFSF10,1.957485318,0,0,0.836418523,0.513013773,TNFSF10,2.921099901,4.28E-10,1.12E-08,0.141542002,0.024963289,TNFSF10
RSAD2,1.939818501,1.62E-137,4.09E-135,0.218488352,0.066858258,RSAD2,7.169781685,2.17E-31,2.19E-29,0.223820483,0.004894763,RSAD2
ETV7,1.870752096,8.06E-24,4.30E-22,0.088853449,0.027871164,ETV7,2.545388222,1.77E-12,5.76E-11,0.164556962,0.032305433,ETV7
CEP55,1.841146708,5.64E-08,9.87E-07,0.050464202,0.017622817,CEP55,0.689529061,0.925905628,1,0.005178366,0.003426334,CEP55
UBA7,1.814621568,1.36E-58,1.78E-56,0.151221735,0.054928966,UBA7,2.38589859,0.145135881,0.757223667,0.033371692,0.005873715,UBA7
TNF,1.773327589,8.64E-16,3.05E-14,0.100928405,0.05416983,TNF,3.223140955,7.29E-164,2.74E-160,0.681242808,0.215859031,TNF
STARD4,1.767880321,1.13E-295,5.34E-293,0.369880959,0.163214402,STARD4,1.330559492,3.19E-15,1.26E-13,0.259493671,0.115026921,STARD4
NT5C3A,1.763314843,0,0,0.742837615,0.441871814,NT5C3A,0.295270354,0.107941268,0.59966661,0.146720368,0.115516397,NT5C3A
SAMD9L,1.710847974,0,0,0.850657857,0.594675198,SAMD9L,2.584122419,4.09E-55,9.19E-53,0.384925201,0.107684777,SAMD9L
TOR3A,1.67816484,0,0,0.502306772,0.235983082,TOR3A,-0.121805355,0.762336916,1,0.231300345,0.234948605,TOR3A
INHBA,1.676990509,0.003603425,0.02656382,0.032465683,0.014911615,INHBA,3.378868341,2.63E-33,2.87E-31,0.267548907,0.044052863,INHBA
EGR1,1.672006845,7.87E-06,0.000101199,0.051546392,0.024888841,EGR1,1.454598069,1.68E-16,7.31E-15,0.272727273,0.119432208,EGR1
IRF7,1.652921319,0,0,0.825311841,0.550211474,IRF7,1.576598406,0.348029234,1,0.023590334,0.005873715,IRF7
TRAFD1,1.622036815,0,0,0.455715669,0.226493873,TRAFD1,-0.120278589,0.74702745,1,0.368239356,0.363680861,TRAFD1
MLKL,1.607379556,0,0,0.518311784,0.269168203,MLKL,-0.02746659,0.968381544,1,0.017836594,0.018600098,MLKL
ENPP4,1.606877565,6.49E-56,8.37E-54,0.153955687,0.059266891,ENPP4,-0.529256046,0.015012731,0.115357749,0.162255466,0.204601077,ENPP4
TRAIP_LOC107513364,1.564964652,0.000956222,0.00815358,0.030984792,0.010899035,TRAIP,,,,,,
IL15,1.553074241,8.16E-84,1.45E-81,0.19627499,0.079709359,IL15,-1.15319705,9.75E-05,0.001271601,0.085730725,0.15712188,IL15
OAS3,1.527038455,1.69E-129,4.15E-127,0.262915077,0.123034378,OAS3,3.103274345,0.059555277,0.373279353,0.040851554,0.005384239,OAS3
DTX3L,1.517524242,0,0,0.745400695,0.47218306,DTX3L,1.348657489,1.03E-37,1.44E-35,0.443037975,0.220753793,DTX3L
RASGEF1B,1.503507972,1.06E-05,0.000133307,0.050464202,0.024021256,RASGEF1B,2.094693661,0.616996657,1,0.013808976,0.004405286,RASGEF1B
LRP8,1.501165986,1.03E-12,2.95E-11,0.075753261,0.032914001,LRP8,0.308583677,0.862200094,1,0.015535098,0.012236907,LRP8
ATF3,1.465764403,9.29E-13,2.68E-11,0.089593894,0.047608719,ATF3,1.428641796,1.17E-40,1.89E-38,0.509781358,0.288301517,ATF3
RAB19,1.431228638,3.08E-104,6.55E-102,0.235689469,0.107092506,RAB19,2.061917305,0.947660284,1,0.001726122,0.000489476,RAB19
STARD13,1.429236054,0.001439093,0.0117483,0.032636555,0.013284893,STARD13,-18.62768745,0.958565197,1,0,0.000978953,STARD13
STAT2,1.422741055,1.07E-178,3.41E-176,0.32619468,0.164298883,STAT2,4.284911156,0.001662951,0.016801354,0.062715765,0.003426334,STAT2
PELI1,1.413610816,1.27E-72,1.98E-70,0.210343453,0.106929834,PELI1,0.257292241,0.405873458,1,0.094361335,0.078805678,PELI1
DUSP5,1.3853966,1.62E-30,1.09E-28,0.121717833,0.052380436,DUSP5,1.887822032,0.000198645,0.002435644,0.096087457,0.025942242,DUSP5
KPNA5,1.364326239,7.53E-06,9.72E-05,0.045622829,0.018381954,KPNA5,-0.118607953,0.489456797,1,0.118527043,0.102790015,KPNA5
PLK2,1.352646708,2.67E-05,0.000312857,0.064077006,0.039312439,PLK2,3.47851038,1.01E-61,2.87E-59,0.364787112,0.059226628,PLK2
UBE2L6,1.348620892,4.18E-38,3.65E-36,0.136754571,0.058507754,UBE2L6,2.190876245,0.357179935,1,0.021288838,0.00391581,UBE2L6
DNAJB4,1.34420073,0.001162348,0.009718963,0.057526912,0.038553302,DNAJB4,0.259112209,0.095042186,0.541795296,0.160529344,0.127753304,DNAJB4
TDRD7,1.340049505,7.66E-22,3.75E-20,0.105712821,0.047879839,TDRD7,1.061780214,0.000468709,0.005351954,0.140966628,0.077337249,TDRD7
ZCWPW2,1.334211349,2.78E-39,2.52E-37,0.14575383,0.066966706,ZCWPW2,0,1,1,0,0,ZCWPW2
SOBP_LOC107518488,1.305775404,0.006533375,0.045030034,0.035142678,0.018761523,SOBP,,,,,,
COMP_LOC107503719,1.303453803,0.000784381,0.006850491,0.035769209,0.015345407,COMP,,,,,,
RGS1,1.296853423,2.31E-102,4.79E-100,0.28809022,0.172649387,RGS1,-0.480733335,0.385833256,1,0.056962025,0.072931963,RGS1
IFI35,1.267343521,0,0,0.54473999,0.341828435,IFI35,0.85810107,4.77E-20,2.60E-18,0.430955121,0.272638277,IFI35
CD226,1.231005192,6.82E-08,1.19E-06,0.059919121,0.027220475,CD226,-0.082820721,0.988694893,1,0.008055236,0.008321096,CD226
RNF19B,1.227234006,6.39E-36,5.25E-34,0.154867005,0.081498753,RNF19B,1.420317054,8.00E-45,1.43E-42,0.482163406,0.24082232,RNF19B
TRIM25,1.219840765,9.18E-178,2.79E-175,0.369368343,0.2134801,TRIM25,1.522715449,2.44E-69,8.66E-67,0.600690449,0.332843857,TRIM25
GBP1_LOC107512699,1.218654156,0,0,0.679899755,0.525593753,GBP1,,,,,,
LUZP1,1.211479187,1.29E-17,5.14E-16,0.11493991,0.064906192,LUZP1,0.388195753,1.21E-05,0.000186423,0.403337169,0.324033284,LUZP1
TAF4B,1.210356355,5.55E-07,8.56E-06,0.056216894,0.02581065,TAF4B,-1.500494361,0.945113967,1,0.001150748,0.002447381,TAF4B
PARP11,1.199054122,2.15E-50,2.51E-48,0.183060887,0.094404078,PARP11,0.626902938,3.10E-07,5.80E-06,0.279631761,0.185022026,PARP11
CMTR1,1.195147038,1.21E-141,3.14E-139,0.327390784,0.18311463,CMTR1,0.324801415,0.174487976,0.874162872,0.095512083,0.069505629,CMTR1
XAF1,1.191888213,1.22E-210,4.33E-208,0.414022897,0.241134367,XAF1,1.563630819,1.49E-09,3.73E-08,0.184119678,0.072442487,XAF1
RIPK2,1.172550797,1.77E-67,2.59E-65,0.234094663,0.138108665,RIPK2,1.374808431,8.70E-20,4.69E-18,0.29689298,0.129221733,RIPK2
PNPT1,1.156099677,6.61E-14,2.08E-12,0.089992596,0.04468062,PNPT1,0.993285418,4.07E-06,6.65E-05,0.17146145,0.085658346,PNPT1
STAT1,1.14763999,0,0,0.736173606,0.535787876,STAT1,2.108959913,5.29E-33,5.74E-31,0.313003452,0.093489966,STAT1
PXK,1.142090797,8.82E-65,1.24E-62,0.226063678,0.128348335,PXK,0.335141867,0.182475375,0.902853911,0.13118527,0.106705825,PXK
ZCCHC2,1.130240917,5.87E-67,8.47E-65,0.222133622,0.119943607,ZCCHC2,0.857852101,0.000842668,0.009122583,0.135212888,0.072442487,ZCCHC2
NABP1,1.128441095,3.07E-78,5.05E-76,0.254998006,0.147760547,NABP1,0.31784448,0.000341678,0.00403395,0.35730725,0.283406755,NABP1
TBK1,1.120461941,1.06E-111,2.38E-109,0.313265364,0.188970827,TBK1,0.351548851,0.000146331,0.00185103,0.312428078,0.239353891,TBK1
NOD1,1.112411499,9.32E-17,3.53E-15,0.103206698,0.053139573,NOD1,0.595317841,3.33E-09,8.03E-08,0.364787112,0.259422418,NOD1
SLC37A3,1.110129118,7.19E-17,2.75E-15,0.102295381,0.052000868,SLC37A3,0.126783341,0.007969944,0.066940397,0.613348677,0.545276554,SLC37A3
USP25,1.105798364,7.37E-141,1.90E-138,0.351597653,0.211528034,USP25,0.000184543,0.330506203,1,0.299194476,0.270190896,USP25
RBM43,1.105607033,4.80E-139,1.22E-136,0.34909153,0.2091964,RBM43,0.393153429,0.525357612,1,0.032220944,0.020068527,RBM43
UBALD2,1.104530096,1.17E-246,4.60E-244,0.498034972,0.336297582,UBALD2,-0.001650592,0.965426537,1,0.138089758,0.137053353,UBALD2
PMAIP1,1.104222417,3.65E-81,6.26E-79,0.263883351,0.153074504,PMAIP1,1.330514789,0.301295995,1,0.029344074,0.009789525,PMAIP1
NFE2L3,1.102006793,1.13E-38,9.94E-37,0.175998177,0.1003145,NFE2L3,-0.306265265,0.832642069,1,0.032796318,0.03671072,NFE2L3
GADD45B,1.100492358,2.22E-48,2.53E-46,0.212166088,0.129378592,GADD45B,0.781394958,0.471577174,1,0.041426928,0.027900147,GADD45B
ZNF142,1.100090504,0.000107006,0.001129136,0.047559378,0.02407548,ZNF142,0.321088731,0.576253011,1,0.035097814,0.024473813,ZNF142
CHCHD7,1.093854666,1.28E-18,5.40E-17,0.115509483,0.063008351,CHCHD7,0.08831799,0.072391302,0.437799459,0.445914845,0.395986295,CHCHD7
UPP1,1.084793091,8.86E-44,9.13E-42,0.180042148,0.09830821,UPP1,0.417171687,0.000163955,0.002055954,0.287111623,0.220264317,UPP1
CMPK2,1.068006158,5.53E-194,1.88E-191,0.428034402,0.26244442,CMPK2,4.432961464,6.48E-31,6.40E-29,0.235903337,0.020558003,CMPK2
MOV10,1.048279762,1.34E-122,3.26E-120,0.34117446,0.211094241,MOV10,6.433786392,2.49E-32,2.63E-30,0.230149597,0.008321096,MOV10
CSF1,1.047311068,0.000937122,0.008027621,0.042034516,0.021960742,CSF1,1.461447954,6.41E-07,1.16E-05,0.161680092,0.068526676,CSF1
MORC3,1.047264338,3.95E-279,1.77E-276,0.555334055,0.380707082,MORC3,0.633023262,1.63E-24,1.13E-22,0.742807825,0.620166422,MORC3
JUNB,1.043858528,1.53E-236,5.76E-234,0.529589338,0.373115714,JUNB,0.453252017,0.17974938,0.893605765,0.130034522,0.10474792,JUNB
PSMF1,1.039138794,3.89E-96,7.58E-94,0.302557385,0.18739833,PSMF1,0.480483323,0.472820506,1,0.048906789,0.035242291,PSMF1
LGALS9,1.015886068,3.57E-184,1.15E-181,0.435097112,0.280826375,LGALS9,0.361831158,0.281045059,1,0.097238205,0.076847773,LGALS9
OTUD4,1.008699775,1.19E-40,1.14E-38,0.188528792,0.110074829,OTUD4,0.969204783,0.000972777,0.010369664,0.126582278,0.06412139,OTUD4
RNF213,1.001675606,0,0,0.70718232,0.543433467,RNF213,2.893877745,4.01E-162,1.25E-158,0.67721519,0.28536466,RNF213
ARHGEF3,0.999371529,1.22E-34,9.64E-33,0.165119326,0.091421755,ARHGEF3,-0.272313833,0.960232621,1,0.006329114,0.005384239,ARHGEF3
RNF24,0.975841403,2.30E-05,0.00027355,0.061912627,0.036547012,RNF24,-0.624908149,0.868006936,1,0.00863061,0.01174743,RNF24
EGR3,0.972020149,0.001317335,0.010900669,0.048185909,0.028901421,EGR3,0.640236855,0.623367277,1,0.029344074,0.020068527,EGR3
NMI,0.958963573,3.11E-150,8.44E-148,0.415162044,0.277844052,NMI,1.230176926,3.07E-18,1.53E-16,0.316455696,0.160548213,NMI
PIM3,0.958623469,1.89E-42,1.89E-40,0.216380931,0.139355818,PIM3,0.588490367,0.000580736,0.00648132,0.246835443,0.183553598,PIM3
VCPIP1,0.95859772,3.43E-63,4.61E-61,0.261377228,0.166034053,VCPIP1,0.953881443,9.00E-19,4.62E-17,0.416570771,0.266275086,VCPIP1
GABRR2,0.95735985,2.03E-05,0.000244183,0.061684798,0.03611322,GABRR2,-0.711052358,0.996374625,1,0.000575374,0.000489476,GABRR2
BRIP1,0.954298079,1.88E-08,3.50E-07,0.076550664,0.042511658,BRIP1,-0.488427848,0.838711389,1,0.010356732,0.014194812,BRIP1
ZNF618,0.94542706,2.54E-43,2.58E-41,0.201401151,0.119780935,ZNF618,-0.083358087,0.886023751,1,0.040851554,0.038179148,ZNF618
FAM111A,0.944107652,1.90E-06,2.71E-05,0.068405764,0.039746231,FAM111A,0.093986385,0.779402134,1,0.032220944,0.026921194,FAM111A
TAPBP_LOC107511979,0.943852782,2.87E-274,1.26E-271,0.592185453,0.433629758,TAPBP,,,,,,
JUN,0.943310261,5.31E-07,8.23E-06,0.12821097,0.10112786,JUN,0.560828507,0.000550632,0.006196297,0.260069045,0.195301028,JUN
PARP12,0.939332306,7.38E-92,1.41E-89,0.31400581,0.198514261,PARP12,0.963545024,2.62E-27,2.13E-25,0.486766398,0.301517376,PARP12
SIRT1,0.928330719,2.73E-36,2.27E-34,0.190579256,0.117123956,SIRT1,-0.006435664,0.479704918,1,0.253164557,0.235927558,SIRT1
RICTOR,0.922534406,5.16E-178,1.59E-175,0.486358717,0.337165166,RICTOR,0.164982736,0.17105571,0.861797582,0.102416571,0.074889868,RICTOR
USP15,0.907302916,6.22E-151,1.73E-148,0.446773367,0.314716408,USP15,0.561728239,1.89E-11,5.59E-10,0.417721519,0.292706804,USP15
RNF114,0.906702638,1.22E-60,1.62E-58,0.260636783,0.167769222,RNF114,0.298936635,0.001000426,0.010610164,0.341772152,0.274596182,RNF114
VPS54,0.90472281,3.47E-29,2.25E-27,0.172182036,0.106441818,VPS54,-0.194741815,0.846054038,1,0.089758343,0.093000489,VPS54
NAMPT,0.903315127,2.09E-79,3.52E-77,0.310759241,0.210606225,NAMPT,1.42516768,1.10E-94,6.47E-92,0.721518987,0.414096916,NAMPT
GPR65,0.893577933,1.20E-67,1.76E-65,0.287691519,0.192170047,GPR65,1.140683651,3.77E-07,6.94E-06,0.175489068,0.07978463,GPR65
TRIM56,0.892392993,2.42E-63,3.27E-61,0.275274819,0.180837219,TRIM56,0.050148495,0.927473159,1,0.030494822,0.028879099,TRIM56
CFLAR,0.886161685,1.31E-89,2.44E-87,0.353534203,0.24959332,CFLAR,1.517344594,4.33E-38,6.20E-36,0.409090909,0.176211454,CFLAR
PCGF5,0.88402915,3.19E-33,2.35E-31,0.183972205,0.11289448,PCGF5,0.433140874,0.697453975,1,0.035673188,0.028389623,PCGF5
LMO2,0.882063925,1.10E-15,3.86E-14,0.146494276,0.102212341,LMO2,-1.024269581,2.46E-05,0.00035986,0.099539701,0.17670093,LMO2
MCOLN2,0.880037844,5.53E-08,9.69E-07,0.083499459,0.050916387,MCOLN2,-0.549045205,0.963174853,1,0.004027618,0.004894763,MCOLN2
HIGD1A,0.873434365,1.72E-144,4.53E-142,0.445121604,0.319976141,HIGD1A,0.683886886,1.41E-54,3.12E-52,0.935558113,0.846304454,HIGD1A
NFKBID,0.863111556,5.89E-06,7.77E-05,0.079740275,0.053031125,NFKBID,1.184134722,0.940379803,1,0.00287687,0.001468429,NFKBID
GTPBP2,0.857293427,6.45E-10,1.41E-08,0.092100017,0.054983191,GTPBP2,-0.331481308,0.807958372,1,0.022439586,0.026921194,GTPBP2
TERF2IP_LOC107502665,0.855166495,1.43E-31,1.01E-29,0.186706157,0.117883093,TERF2IP,,,,,,
SLC25A28,0.840857685,4.72E-13,1.39E-11,0.111921171,0.068322308,SLC25A28,0.418347657,0.000605829,0.00672538,0.268699655,0.205090553,SLC25A28
PARP9,0.839182556,1.09E-167,3.16E-165,0.511476904,0.372681922,PARP9,1.21199584,0.947707884,1,0.001726122,0.000489476,PARP9
CLIC4,0.835821748,5.87E-32,4.19E-30,0.200262004,0.132577812,CLIC4,0.696280479,0.28413152,1,0.066743383,0.046500245,CLIC4
POLB,0.835584641,8.03E-34,6.07E-32,0.203451615,0.133445396,POLB,-0.187684968,0.478646514,1,0.259493671,0.265296133,POLB
KLHL4,0.832607508,0.000222327,0.002209942,0.052913368,0.030419694,KLHL4,0,1,1,0,0,KLHL4
GALNT3,0.826757967,0.001333357,0.011011842,0.047616335,0.028142284,GALNT3,0,1,1,0,0,GALNT3
ENC1,0.826741278,0.000122597,0.001274689,0.064589622,0.041752521,ENC1,-0.051376976,0.894907127,1,0.016110472,0.018600098,ENC1
TAP1,0.803304493,1.80E-112,4.14E-110,0.413908982,0.292484546,TAP1,1.130747199,4.52E-67,1.46E-64,0.754890679,0.544297602,TAP1
CYB561A3_LOC107504752,0.803146124,3.64E-14,1.16E-12,0.143418579,0.10058562,CYB561A3,,,,,,
ARID5A,0.798522174,1.46E-10,3.45E-09,0.104687589,0.066153346,ARID5A,0.569039047,0.704999017,1,0.024741082,0.017621145,ARID5A
GTF2B,0.794066548,4.07E-173,1.21E-170,0.553739249,0.429834074,GTF2B,0.434792757,7.96E-09,1.85E-07,0.422899885,0.31277533,GTF2B
SLC39A12,0.788617432,4.72E-11,1.16E-09,0.103890186,0.064147056,SLC39A12,-2.339840174,0.982888052,1,0.000575374,0.000978953,SLC39A12
UBE2J1,0.784843087,6.45E-19,2.75E-17,0.162499288,0.111809999,UBE2J1,0.803109109,7.56E-15,2.91E-13,0.345224396,0.197258933,UBE2J1
GGCT,0.784766972,2.60E-34,2.02E-32,0.214501338,0.144073311,GGCT,-0.548107624,0.325767169,1,0.060989643,0.078805678,GGCT
PSMB9,0.784618556,0,0,0.760950048,0.658280013,PSMB9,0.400192022,6.22E-06,9.93E-05,0.342347526,0.254527655,PSMB9
GPR155,0.778592825,1.26E-50,1.47E-48,0.272426952,0.187452554,GPR155,-0.39000091,0.649021273,1,0.050057537,0.058247675,GPR155
ZC3H12A,0.777141333,0.000653825,0.005819476,0.069886655,0.049831905,ZC3H12A,0.984446406,0.697741495,1,0.016110472,0.008810573,ZC3H12A
RHOC,0.776298046,1.21E-05,0.000151345,0.076721536,0.05069949,RHOC,0.439727962,2.82E-16,1.21E-14,0.840621404,0.721977484,RHOC
ZNHIT6,0.770972908,6.26E-66,8.83E-64,0.317821951,0.221451036,ZNHIT6,0.163122967,0.707342704,1,0.049482163,0.042094958,ZNHIT6
